ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	3	2	1	0.000000	672.666667	651.000000	0.000000	0.000000	0	336	0
2	1	2	1	0.000000	707.000000	690.000000	0.000000	0.000000	0	348	0
3	5	2	1	0.000000	672.000000	658.600000	0.000000	0.000000	0	359	0
4	2	2	1	0.000000	685.500000	679.000000	0.000000	0.000000	0	345	0
5	3	2	1	0.000000	689.000000	685.333333	0.000000	0.000000	0	361	0
6	2	2	1	0.000000	800.500000	799.500000	0.000000	0.000000	0	404	0
7	1	2	1	0.000000	799.000000	799.000000	0.000000	0.000000	0	401	0
8	2	2	1	0.000000	762.500000	762.500000	0.000000	0.000000	0	387	0
9	31	1	1	0.000000	1.225806	1.225806	0.000000	0.000000	0	1	0
10	1	1	2	0.000000	579.000000	569.000000	0.000000	0.000000	0	295	0
11	1	1	2	0.000000	579.000000	569.000000	0.000000	0.000000	0	297	0
12	1	1	2	0.000000	640.000000	630.000000	0.000000	0.000000	0	328	0
13	1	1	3	0.000000	639.000000	629.000000	0.000000	0.000000	0	327	0
14	2	1	2	0.000000	580.000000	567.000000	0.000000	0.000000	0	298	0
15	11	1	2	0.000000	336.818182	326.363636	0.000000	0.000000	0	326	0
16	3	1	2	0.000000	251.000000	243.333333	0.000000	0.000000	0	127	0
17	13	2	3	0.000000	232.846154	221.153846	0.000000	0.000000	0	156	0
18	31	1	1	0.000000	289.903226	275.677419	0.000000	0.000000	0	293	0
19	7	1	2	0.000000	497.714286	475.285714	0.000000	0.000000	0	269	0
20	1	3	2	0.000000	7239.000000	6881.000000	0.000000	0.000000	0	3661	0
21	1	2	2	0.000000	6866.000000	6506.000000	0.000000	0.000000	0	3467	0
22	1	2	4	0.000000	6644.000000	6273.000000	0.000000	0.000000	0	3338	0
23	1	4	8	0.000000	6623.000000	6210.000000	0.000000	0.000000	0	3319	0
24	1	2	4	0.000000	6659.000000	6225.000000	0.000000	0.000000	0	3335	0
25	1	3	4	0.000000	6684.000000	6241.000000	0.000000	0.000000	0	3347	0
26	1	7	9	0.000000	6173.000000	5732.000000	0.000000	0.000000	0	3094	0
27	1	5	2	0.000000	6069.000000	5631.000000	0.000000	0.000000	0	3041	0
28	1	2	5	0.000000	6079.000000	5631.000000	0.000000	0.000000	0	3045	0
29	1	2	2	0.000000	5790.000000	5339.000000	0.000000	0.000000	0	2903	0
30	1	4	2	0.000000	5904.000000	5460.000000	0.000000	0.000000	0	2974	0
31	1	4	2	0.000000	5871.000000	5431.000000	0.000000	0.000000	0	2955	0
32	1	3	6	0.000000	6192.000000	5747.000000	0.000000	0.000000	0	3114	0
